"Share of enterprises who had any ICT related security incidents that led to consequences by type of consequences, study domain, observations and year"

"type of consequences";"study domain";"share of enterprises, percent 2021";"share of enterprises, percent 2023";"margin of error, ± 2021";"margin of error, ± 2023"
"disclosure of confidential data due to intentional actions by own employees";"transport and storage enterprises (SNI 49-53)";0;0;0;0
"disclosure of confidential data due to intentional actions by own employees";"accommodation and food services (SNI 55-56)";2;..;1;..
"disclosure of confidential data due to intentional actions by own employees";"information and communication enterprises (SNI 58-63)";0;2;0;2
"disclosure of confidential data due to intentional actions by own employees";"real estate companies and managers (SNI 68)";..;..;..;..
"disclosure of confidential data due to intentional actions by own employees";"other service companies (SNI 69-74, 77-82, 95.1)";..;..;..;..
"disclosure of confidential data due to intentional actions by own employees";"other service companies (SNI 69-75, 77-82, 95.1)";..;1;..;1
"disclosure of confidential data due to intentional actions by own employees";"ICT sector (SNI 26.1-26.4, 26.8, 46.5, 58.2, 61-62, 63.1, 95.1)";..;..;..;..
"disclosure of confidential data due to unintentional actions by own employees";"total (SNI 10-63, 68-75, 77-82, 95.1)";1;2;0;1
"disclosure of confidential data due to unintentional actions by own employees";"manufacturing (SNI 10-33)";1;2;0;1
"disclosure of confidential data due to unintentional actions by own employees";"energy and recycling (SNI 35-39)";3;1;1;1
"disclosure of confidential data due to unintentional actions by own employees";"construction (SNI 41-43)";..;..;..;..
"disclosure of confidential data due to unintentional actions by own employees";"trade; motor vehicle and motorcycle garages (SNI 45-47)";1;3;1;2
"disclosure of confidential data due to unintentional actions by own employees";"transport and storage enterprises (SNI 49-53)";..;..;..;..
"disclosure of confidential data due to unintentional actions by own employees";"accommodation and food services (SNI 55-56)";1;..;1;..
"disclosure of confidential data due to unintentional actions by own employees";"information and communication enterprises (SNI 58-63)";4;3;3;2
"disclosure of confidential data due to unintentional actions by own employees";"real estate companies and managers (SNI 68)";2;..;2;..
"disclosure of confidential data due to unintentional actions by own employees";"other service companies (SNI 69-74, 77-82, 95.1)";1;..;1;..
"disclosure of confidential data due to unintentional actions by own employees";"other service companies (SNI 69-75, 77-82, 95.1)";..;2;..;1
"disclosure of confidential data due to unintentional actions by own employees";"ICT sector (SNI 26.1-26.4, 26.8, 46.5, 58.2, 61-62, 63.1, 95.1)";4;3;3;2
